2026-04-19 21:21:24,465 - INFO - code:000021.SZ,dateBegin:2022-06-22 00:00:00,buyPrice:10.76,endDate:20220720,endPrice:11.84.result:win
2026-04-19 21:21:24,702 - INFO - code:001872.SZ,dateBegin:2019-03-12 00:00:00,buyPrice:14.93,endDate:20190415,endPrice:16.69.result:win
2026-04-19 21:21:25,100 - INFO - code000025.SZ,dateBegin:1997-01-11 00:00:00,buyPrice:7.58,endDate:20010727,endPrice:7.18.result:lose
2026-04-19 21:21:25,483 - INFO - code000026.SZ,dateBegin:1996-10-31 00:00:00,buyPrice:8.19,endDate:20010730,endPrice:7.34.result:lose
2026-04-19 21:21:25,767 - INFO - code000027.SZ,dateBegin:2014-09-26 00:00:00,buyPrice:3.26,endDate:20141017,endPrice:3.06.result:lose
2026-04-19 21:21:26,089 - INFO - code000028.SZ,dateBegin:2008-12-21 00:00:00,buyPrice:10.44,endDate:20081224,endPrice:9.8.result:lose
2026-04-19 21:21:26,312 - INFO - code000029.SZ,dateBegin:2020-10-09 00:00:00,buyPrice:11.24,endDate:20201110,endPrice:10.44.result:lose
2026-04-19 21:21:26,626 - INFO - code:000030.SZ,dateBegin:2006-02-16 00:00:00,buyPrice:0.51,endDate:20060303,endPrice:0.58.result:win
2026-04-19 21:21:26,844 - INFO - code000031.SZ,dateBegin:2021-09-12 00:00:00,buyPrice:3.57,endDate:20211014,endPrice:3.39.result:lose
2026-04-19 21:21:27,068 - INFO - code000032.SZ,dateBegin:2019-04-04 00:00:00,buyPrice:10.02,endDate:20190411,endPrice:9.43.result:lose
2026-04-19 21:21:27,351 - INFO - code:000034.SZ,dateBegin:2008-11-10 00:00:00,buyPrice:1.27,endDate:20081114,endPrice:1.45.result:win
2026-04-19 21:21:27,812 - INFO - code000035.SZ,dateBegin:1997-12-13 00:00:00,buyPrice:9.35,endDate:20010726,endPrice:8.56.result:lose
2026-04-19 21:21:28,097 - INFO - code000036.SZ,dateBegin:2021-01-17 00:00:00,buyPrice:3.63,endDate:20210128,endPrice:3.36.result:lose
2026-04-19 21:21:28,367 - INFO - code000037.SZ,dateBegin:2017-12-12 00:00:00,buyPrice:7.85,endDate:20171215,endPrice:7.38.result:lose
